Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Month,DayOfWeek,is_outlier
2016-01-02,1098,47,EMC,23Y9E,3.0,15.18,2016-01,Saturday,False
2016-01-02,1098,47,FEW,25CJ5,1.0,10.3,2016-01,Saturday,False
2016-01-02,6112,48,0WT,AK33R,1.0,12.4,2016-01,Saturday,False
2016-01-02,6112,48,R6E,F64H7,1.0,2.86,2016-01,Saturday,False
2016-01-02,6112,48,29A,RH5J5,1.0,4.23,2016-01,Saturday,False
2016-01-02,8515,49,C8Z,5FESW,1.0,14.43,2016-01,Saturday,False
2016-01-02,708,50,0H2,K8EHH,1.0,6.88,2016-01,Saturday,False
2016-01-02,5097,51,BZU,68AG2,1.0,7.23,2016-01,Saturday,False
2016-01-02,8473,52,N8U,COWU2,1.0,4.43,2016-01,Saturday,False
2016-01-02,9011,53,1TS,MNJUQ,1.0,16.12,2016-01,Saturday,False
2016-01-02,4720,54,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,4720,54,0H2,MQPSJ,1.0,4.19,2016-01,Saturday,False
2016-01-02,4414,55,2ML,7YTSF,1.0,5.66,2016-01,Saturday,False
2016-01-02,4414,55,JPI,9XQSN,1.0,2.11,2016-01,Saturday,False
2016-01-02,4414,55,FEW,SANGZ,1.0,9.38,2016-01,Saturday,False
2016-01-02,4414,55,3WV,BKQSZ,1.0,4.94,2016-01,Saturday,False
2016-01-02,2125,56,P42,IPVE6,1.0,4.5,2016-01,Saturday,False
2016-01-02,2562,57,0H2,549KK,1.0,5.59,2016-01,Saturday,False
2016-01-02,2562,57,QCG,A6Z4C,1.0,5.37,2016-01,Saturday,False
2016-01-02,473,58,J4R,AODV3,2.0,8.73,2016-01,Saturday,False
2016-01-02,473,58,A38,MZL43,3.0,8.14,2016-01,Saturday,False
2016-01-02,9113,59,N8U,0AEJH,1.0,1.89,2016-01,Saturday,False
2016-01-02,7096,60,JPI,BI6K5,1.0,6.4,2016-01,Saturday,False
2016-01-02,3708,61,FEW,A4R06,1.0,10.57,2016-01,Saturday,False
2016-01-02,1794,62,FZT,7BMCX,1.0,8.6,2016-01,Saturday,False
2016-01-02,8537,63,AEB,4EKR9,2.0,17.17,2016-01,Saturday,False
2016-01-02,8537,63,AEB,9FTYM,1.0,9.07,2016-01,Saturday,False
2016-01-02,8537,63,FZT,ZP7RI,1.0,4.09,2016-01,Saturday,False
2016-01-02,8537,63,JPI,MKV69,1.0,1.58,2016-01,Saturday,False
2016-01-02,8537,63,1TS,Z0UBN,1.0,16.12,2016-01,Saturday,False
2016-01-02,3992,64,N8U,14V9T,1.0,3.41,2016-01,Saturday,False
2016-01-02,3992,64,N8U,COWU2,1.0,4.43,2016-01,Saturday,False
2016-01-02,3992,64,QLB,M3SY1,1.0,7.17,2016-01,Saturday,False
2016-01-02,3992,64,2O0,UCK6F,2.0,11.18,2016-01,Saturday,False
2016-01-02,7488,65,8H8,VKMQ4,1.0,2.78,2016-01,Saturday,False
2016-01-02,7488,65,N8U,ZRKHN,1.0,4.23,2016-01,Saturday,False
2016-01-02,7488,65,N8U,UNJKW,1.0,2.11,2016-01,Saturday,False
2016-01-02,4604,66,H15,FV49E,1.0,7.02,2016-01,Saturday,False
2016-01-02,4604,66,0H2,1XG54,1.0,6.75,2016-01,Saturday,False
2016-01-02,4604,66,JKC,0TLU5,1.0,1.06,2016-01,Saturday,False
2016-01-02,9108,67,0H2,9STQJ,1.0,8.25,2016-01,Saturday,False
2016-01-02,4783,68,H15,K38PQ,1.0,9.62,2016-01,Saturday,False
2016-01-02,4783,68,H15,NJRVO,1.0,8.18,2016-01,Saturday,False
2016-01-02,2988,69,JPI,E7POD,1.0,11.32,2016-01,Saturday,False
2016-01-02,5373,70,J4R,RNDL2,1.0,3.7,2016-01,Saturday,False
2016-01-02,1765,71,T80,C3R9E,1.0,6.0,2016-01,Saturday,False
2016-01-02,1765,71,H15,J2RPB,1.0,3.41,2016-01,Saturday,False
2016-01-02,5852,72,SFC,AM6EH,1.0,2.43,2016-01,Saturday,False
2016-01-02,4948,73,0KX,E6T47,1.0,3.63,2016-01,Saturday,False
2016-01-02,4530,74,FZT,KZOT8,1.0,4.91,2016-01,Saturday,False
2016-01-02,4948,75,TVL,6ASJR,1.0,6.0,2016-01,Saturday,False
2016-01-02,4122,76,SJS,4BPPU,0.67,118.35,2016-01,Saturday,True
2016-01-02,4122,76,29A,LPLTZ,1.0,3.9,2016-01,Saturday,False
2016-01-02,4122,76,N8U,TL4WZ,1.0,4.0,2016-01,Saturday,False
2016-01-02,4122,76,9ZX,PV9XZ,4.0,33.6,2016-01,Saturday,False
2016-01-02,4122,76,OXH,MM77N,2.0,5.37,2016-01,Saturday,False
2016-01-02,4122,76,SJS,U4XSE,2.0,11.02,2016-01,Saturday,False
2016-01-02,4122,76,FU5,NOKHJ,2.0,22.26,2016-01,Saturday,False
2016-01-02,4122,76,LPF,9F8O1,2.0,12.36,2016-01,Saturday,False
2016-01-02,4122,76,IEV,NZQS5,2.0,12.27,2016-01,Saturday,False
2016-01-02,4122,76,LPF,GYQNP,2.0,14.4,2016-01,Saturday,False
2016-01-02,981,77,2ML,7QUXS,1.0,2.92,2016-01,Saturday,False
2016-01-02,981,77,N8U,H87RV,1.0,6.0,2016-01,Saturday,False
2016-01-02,981,77,X52,MYQAP,1.0,12.33,2016-01,Saturday,False
2016-01-02,9628,78,H15,E3PAN,1.0,8.32,2016-01,Saturday,False
2016-01-02,8048,79,0H2,549KK,1.0,5.59,2016-01,Saturday,False
2016-01-02,8048,79,N8U,TU0A5,1.0,3.54,2016-01,Saturday,False
2016-01-02,8470,80,DMA,53EDF,1.0,18.32,2016-01,Saturday,False
2016-01-02,6891,81,R6E,280WP,1.0,19.63,2016-01,Saturday,False
2016-01-02,6268,82,JPI,S4HQP,1.0,1.84,2016-01,Saturday,False
2016-01-02,3588,83,0H2,RUNZF,2.0,15.75,2016-01,Saturday,False
2016-01-02,178,84,R6E,HO1M5,1.0,24.93,2016-01,Saturday,False
2016-01-02,178,84,Q4N,699MN,1.0,34.06,2016-01,Saturday,False
2016-01-02,5721,85,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,5721,85,AEB,JPC1D,1.0,4.98,2016-01,Saturday,False
2016-01-02,1725,86,2O0,UCK6F,2.0,11.18,2016-01,Saturday,False
2016-01-02,1725,86,R6E,XQBTK,1.0,1.53,2016-01,Saturday,False
2016-01-02,8541,87,N8U,YY5BX,1.0,4.57,2016-01,Saturday,False
2016-01-02,6994,88,Q4N,11H2S,1.0,19.0,2016-01,Saturday,False
2016-01-02,2844,89,TW8,O3VWQ,1.0,1.02,2016-01,Saturday,False
2016-01-02,3,90,LPF,Y1M2E,2.0,8.16,2016-01,Saturday,False
2016-01-02,3,90,TW8,WHV3G,1.0,1.38,2016-01,Saturday,False
2016-01-02,3,90,TW8,WALAE,1.0,1.38,2016-01,Saturday,False
2016-01-02,427,91,R6E,DLFQW,1.0,4.19,2016-01,Saturday,False
2016-01-02,427,91,R6E,F90L2,1.0,2.31,2016-01,Saturday,False
2016-01-02,427,91,Q4N,LKDTY,1.0,8.69,2016-01,Saturday,False
2016-01-02,3235,92,R6E,DUWYY,1.0,4.19,2016-01,Saturday,False
2016-01-02,4670,93,3WV,V64MG,1.0,4.3,2016-01,Saturday,False
2016-01-02,4670,93,3WV,2FM2J,1.0,4.81,2016-01,Saturday,False
2016-01-02,957,94,0H2,MQPSJ,1.0,4.19,2016-01,Saturday,False
2016-01-02,7408,95,Q4N,7BGJ9,1.0,17.5,2016-01,Saturday,False
2016-01-02,6523,96,N8U,UQC6F,1.0,1.77,2016-01,Saturday,False
2016-01-02,6523,96,N8U,UNJKW,1.0,2.11,2016-01,Saturday,False
2016-01-02,4803,97,P42,IPVE6,1.0,4.5,2016-01,Saturday,False
2016-01-02,4803,97,29A,PO1N6,1.0,7.44,2016-01,Saturday,False
2016-01-02,2826,98,0H2,ABFD7,1.0,4.84,2016-01,Saturday,False
2016-01-02,2826,98,0H2,O1X0L,1.0,6.07,2016-01,Saturday,False
2016-01-02,4332,99,X52,3N11J,1.0,10.12,2016-01,Saturday,False
2016-01-02,3131,100,Q4N,MRE4J,1.0,3.34,2016-01,Saturday,False
2016-01-02,7141,101,SFC,AM6EH,1.0,2.43,2016-01,Saturday,False
2016-01-02,5948,102,Q4N,967JZ,1.0,10.56,2016-01,Saturday,False
2016-01-02,2826,103,0H2,O1X0L,1.0,6.07,2016-01,Saturday,False
2016-01-02,6848,104,FEW,81AIS,1.0,8.25,2016-01,Saturday,False
2016-01-02,6848,104,N8U,ZDSYK,1.0,1.71,2016-01,Saturday,False
2016-01-02,6848,104,R6E,DUV2Y,1.0,7.81,2016-01,Saturday,False
2016-01-02,1585,105,P42,IPVE6,1.0,4.5,2016-01,Saturday,False
2016-01-02,1585,105,0H2,LGDUB,1.0,5.12,2016-01,Saturday,False
2016-01-02,1585,105,P42,1MR3E,1.0,9.4,2016-01,Saturday,False
2016-01-02,1585,105,0H2,1LGSE,1.0,4.23,2016-01,Saturday,False
2016-01-02,1585,105,0H2,51OBI,1.0,6.75,2016-01,Saturday,False
2016-01-02,1585,105,0H2,LQ555,1.0,7.57,2016-01,Saturday,False
2016-01-02,1585,105,29A,RBNO8,1.0,10.02,2016-01,Saturday,False
2016-01-02,1585,105,N8U,89ULV,1.0,4.71,2016-01,Saturday,False
2016-01-02,1908,106,2ML,68BRQ,1.0,5.46,2016-01,Saturday,False
2016-01-02,1908,106,XG4,NZY1K,1.0,4.37,2016-01,Saturday,False
2016-01-02,1908,106,T80,WK41K,1.0,5.8,2016-01,Saturday,False
2016-01-02,1908,106,R6E,VWUC7,1.0,3.12,2016-01,Saturday,False
2016-01-02,195,107,LGI,VY2UB,1.0,6.35,2016-01,Saturday,False
2016-01-02,195,107,8H8,5543M,1.0,6.75,2016-01,Saturday,False
2016-01-02,5204,108,H15,E3PAN,1.0,8.32,2016-01,Saturday,False
2016-01-02,5204,108,N8U,COWU2,1.0,4.43,2016-01,Saturday,False
2016-01-02,2826,109,H15,E3PAN,1.0,8.32,2016-01,Saturday,False
2016-01-02,2826,109,DMA,ODYUV,1.0,12.5,2016-01,Saturday,False
2016-01-02,2530,110,JPI,MKV69,1.0,1.58,2016-01,Saturday,False
2016-01-02,7355,111,T80,LP9DJ,1.0,5.64,2016-01,Saturday,False
2016-01-02,3764,112,29A,LPLTZ,1.0,3.9,2016-01,Saturday,False
2016-01-02,3764,112,R6E,KV45X,1.0,2.06,2016-01,Saturday,False
2016-01-02,7443,113,C3R,BP4WV,1.0,25.62,2016-01,Saturday,False
2016-01-02,4839,114,XG4,ZSVWE,1.0,6.75,2016-01,Saturday,False
2016-01-02,4839,114,Q4N,MRE4J,1.0,3.34,2016-01,Saturday,False
2016-01-02,3011,115,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,3011,115,N8U,3220G,1.0,1.42,2016-01,Saturday,False
2016-01-02,3011,115,1VL,OXMKW,1.0,10.57,2016-01,Saturday,False
2016-01-02,3011,115,0H2,EEQQ0,1.0,6.75,2016-01,Saturday,False
2016-01-02,1659,116,2ML,6V2Q8,1.0,10.25,2016-01,Saturday,False
2016-01-02,1659,116,DJI,L81FM,1.0,25.16,2016-01,Saturday,False
2016-01-02,8288,117,R6E,WKOLQ,1.0,1.68,2016-01,Saturday,False
2016-01-02,5170,118,H15,TZ8LC,1.0,6.27,2016-01,Saturday,False
2016-01-02,4817,119,PA3,61YKF,1.0,20.75,2016-01,Saturday,False
2016-01-02,7126,120,YMJ,7GQRJ,1.0,11.46,2016-01,Saturday,False
2016-01-02,1577,121,1L6,Y2U6K,1.0,10.5,2016-01,Saturday,False
2016-01-02,3592,122,GSI,9M63N,1.0,1.68,2016-01,Saturday,False
2016-01-02,2617,123,N8U,3220G,1.0,1.42,2016-01,Saturday,False
2016-01-02,2617,123,H15,L9X5Q,1.0,3.0,2016-01,Saturday,False
2016-01-02,2617,123,H15,BK9BM,1.0,4.81,2016-01,Saturday,False
2016-01-02,1614,124,QCG,E7DJL,1.0,5.32,2016-01,Saturday,False
2016-01-02,8814,125,P42,IPVE6,1.0,4.5,2016-01,Saturday,False
2016-01-02,6901,126,FEW,JJ9FT,1.0,5.79,2016-01,Saturday,False
2016-01-02,6901,126,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,454,127,0H2,O1X0L,1.0,6.07,2016-01,Saturday,False
2016-01-02,3610,128,3WV,G5W0N,1.0,11.94,2016-01,Saturday,False
2016-01-02,5293,129,N8U,4A2M0,1.0,7.02,2016-01,Saturday,False
2016-01-02,5219,130,0WT,KXEUC,1.0,4.06,2016-01,Saturday,False
2016-01-02,2285,131,BZU,SRKOW,1.0,7.23,2016-01,Saturday,False
2016-01-02,2285,131,X52,KUXIK,1.0,2.66,2016-01,Saturday,False
2016-01-02,6874,132,PZW,ENX9M,1.0,8.52,2016-01,Saturday,False
2016-01-02,6045,133,J4R,53UL8,1.0,1.97,2016-01,Saturday,False
2016-01-02,343,134,XG4,ZSVWE,1.0,6.75,2016-01,Saturday,False
2016-01-02,8635,135,3WV,G5W0N,1.0,11.94,2016-01,Saturday,False
2016-01-02,399,136,H15,XJLWY,1.0,4.81,2016-01,Saturday,False
2016-01-02,399,136,P42,6RXA9,1.0,5.62,2016-01,Saturday,False
2016-01-02,5541,137,X52,1W8E0,1.0,5.73,2016-01,Saturday,False
2016-01-02,5541,137,X52,JSNFH,1.0,15.88,2016-01,Saturday,False
2016-01-02,1891,138,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,1891,138,TVL,GG1RY,1.0,4.09,2016-01,Saturday,False
2016-01-02,5778,139,R6B,Q8411,1.0,8.69,2016-01,Saturday,False
2016-01-02,3156,140,PZW,K0TXH,1.0,8.87,2016-01,Saturday,False
2016-01-02,3180,141,BZU,MZGP5,1.0,9.21,2016-01,Saturday,False
2016-01-02,3180,141,BZU,K8GSO,1.0,9.21,2016-01,Saturday,False
2016-01-03,131,142,6BZ,JO2C3,1.0,16.8,2016-01,Sunday,False
2016-01-03,3530,143,P42,OV1P9,1.0,5.73,2016-01,Sunday,False
2016-01-03,3530,143,0H2,6OUVC,1.0,10.5,2016-01,Sunday,False
2016-01-03,692,144,0H2,2AJB5,1.0,8.38,2016-01,Sunday,False
2016-01-03,692,144,P42,GKJEP,1.0,3.54,2016-01,Sunday,False
2016-01-03,692,145,H15,E3PAN,1.0,8.32,2016-01,Sunday,False
2016-01-03,3376,146,XG4,SW800,1.0,5.87,2016-01,Sunday,False
2016-01-03,2223,147,NVL,UFYM3,1.0,14.6,2016-01,Sunday,False
2016-01-03,6806,148,AEB,J93NR,1.0,5.25,2016-01,Sunday,False
2016-01-03,6806,148,N8U,UNJKW,2.0,4.23,2016-01,Sunday,False
2016-01-03,6806,148,N8U,EMJ1S,1.0,3.62,2016-01,Sunday,False
2016-01-03,4993,149,R6E,7EBAG,1.0,6.5,2016-01,Sunday,False
2016-01-03,6854,150,LSD,N0RAF,1.0,12.33,2016-01,Sunday,False
2016-01-03,6854,150,1VL,CC028,1.0,3.65,2016-01,Sunday,False
2016-01-03,6854,150,C8Z,PQ7MM,1.0,13.18,2016-01,Sunday,False
2016-01-03,4775,151,LSD,YZ7ZS,1.0,8.37,2016-01,Sunday,False
2016-01-03,4775,151,0H2,O1X0L,1.0,6.07,2016-01,Sunday,False
2016-01-03,6727,152,P42,IPVE6,1.0,4.5,2016-01,Sunday,False
2016-01-03,191,153,MU3,FBID9,1.0,4.38,2016-01,Sunday,False
2016-01-03,2422,154,QCG,NPV8G,1.0,6.21,2016-01,Sunday,False
2016-01-03,2422,154,H15,Z2AX9,1.0,8.87,2016-01,Sunday,False
2016-01-03,2422,154,TW8,M93I3,1.0,1.68,2016-01,Sunday,False
2016-01-03,2422,154,R6E,DUWYY,1.0,4.19,2016-01,Sunday,False
2016-01-03,8553,155,QCG,M4TM4,1.0,10.98,2016-01,Sunday,False
2016-01-03,8553,155,YMJ,MYO3P,1.0,10.9,2016-01,Sunday,False
2016-01-03,8553,155,P42,0BXVJ,1.0,7.5,2016-01,Sunday,False
2016-01-03,8553,155,R6E,XQBTK,1.0,2.37,2016-01,Sunday,False
2016-01-03,6504,156,QCG,536VK,1.0,6.35,2016-01,Sunday,False
2016-01-03,6504,156,0WT,9GSMH,1.0,10.23,2016-01,Sunday,False
2016-01-03,8907,157,Q4N,S7QET,1.0,2.68,2016-01,Sunday,False
2016-01-03,1284,158,H15,J2RPB,1.0,3.41,2016-01,Sunday,False
2016-01-03,1284,158,HVP,T91Q1,1.0,8.43,2016-01,Sunday,False
2016-01-03,3724,159,YMJ,7GQRJ,1.0,11.46,2016-01,Sunday,False
2016-01-03,1762,160,LSD,GUFMQ,1.0,8.46,2016-01,Sunday,False
2016-01-03,1762,160,A38,7X6ZN,1.0,3.62,2016-01,Sunday,False
2016-01-03,5034,161,2ML,68BRQ,1.0,5.46,2016-01,Sunday,False
2016-01-03,9251,162,0H2,Q4ZAD,2.0,15.96,2016-01,Sunday,False
2016-01-03,9251,162,P42,OV1P9,2.0,11.46,2016-01,Sunday,False
2016-01-03,9251,162,H15,15PXV,1.0,7.71,2016-01,Sunday,False
2016-01-03,3837,163,QCG,536VK,1.0,6.35,2016-01,Sunday,False
2016-01-03,3837,163,SFC,0WRXS,1.0,2.0,2016-01,Sunday,False
2016-01-03,6701,164,Z4O,0VP78,1.0,20.37,2016-01,Sunday,False
2016-01-03,6701,164,LGI,VRVG1,1.0,8.56,2016-01,Sunday,False
2016-01-03,2257,165,FZT,KZOT8,1.0,4.91,2016-01,Sunday,False
2016-01-03,1128,166,PZW,8N1HN,1.0,5.25,2016-01,Sunday,False
2016-01-03,8417,167,1L6,LC2AI,1.0,11.25,2016-01,Sunday,False
2016-01-03,1894,168,Q4N,967JZ,1.0,10.56,2016-01,Sunday,False
2016-01-03,8308,169,FEW,WG7HI,1.0,5.18,2016-01,Sunday,False
2016-01-03,8308,169,N8U,UNJKW,1.0,2.11,2016-01,Sunday,False
2016-01-03,3695,170,FEW,T4T9J,1.0,9.5,2016-01,Sunday,False
2016-01-03,3848,171,P42,1MR3E,1.0,9.4,2016-01,Sunday,False
2016-01-03,7077,172,P42,7YOPV,1.0,5.66,2016-01,Sunday,False
2016-01-03,7077,172,N8U,UNJKW,1.0,2.11,2016-01,Sunday,False
2016-01-03,7077,172,2O0,UCK6F,2.0,11.18,2016-01,Sunday,False
2016-01-03,6422,173,R6E,B4KFE,1.0,5.56,2016-01,Sunday,False
2016-01-03,4046,174,R6E,75L4V,1.0,2.73,2016-01,Sunday,False
2016-01-03,4046,174,TW8,WALAE,1.0,1.38,2016-01,Sunday,False
2016-01-03,4046,174,TW8,WINPO,1.0,2.06,2016-01,Sunday,False
2016-01-03,3827,175,JPI,HLZWD,2.0,3.27,2016-01,Sunday,False
2016-01-03,3827,175,H1H,7NP6T,2.0,0.96,2016-01,Sunday,False
2016-01-03,3913,176,P42,DMJ70,1.0,5.73,2016-01,Sunday,False
2016-01-03,3226,177,29A,A59HR,1.0,3.12,2016-01,Sunday,False
2016-01-03,3226,177,R6E,VWUC7,1.0,3.12,2016-01,Sunday,False
2016-01-03,3226,177,0WT,I9SAW,1.0,2.19,2016-01,Sunday,False
2016-01-03,2057,178,FEW,H8LCU,1.0,5.12,2016-01,Sunday,False
2016-01-03,1906,179,0H2,LGDUB,1.0,5.12,2016-01,Sunday,False
2016-01-03,1906,179,H15,XJLWY,1.0,4.81,2016-01,Sunday,False
2016-01-03,4022,180,2ML,3SZO0,1.0,8.87,2016-01,Sunday,False
2016-01-03,4022,180,C8Z,8KNYA,1.0,22.18,2016-01,Sunday,False
2016-01-03,100,181,FEW,3QNEE,1.0,8.32,2016-01,Sunday,False
2016-01-03,100,181,MU3,O9LF5,1.0,4.81,2016-01,Sunday,False
2016-01-03,6918,182,0H2,CZUZX,1.0,6.35,2016-01,Sunday,False
2016-01-03,6918,182,H15,D9QKE,1.0,8.87,2016-01,Sunday,False
2016-01-03,6918,182,H15,XJLWY,1.0,4.81,2016-01,Sunday,False
2016-01-03,7002,183,P42,OV1P9,1.0,5.73,2016-01,Sunday,False
2016-01-03,7002,183,2ML,3SZO0,1.0,8.87,2016-01,Sunday,False
2016-01-03,7002,183,YMJ,U6GWD,1.0,10.43,2016-01,Sunday,False
2016-01-03,7002,183,R6E,DLFQW,3.0,8.37,2016-01,Sunday,False
2016-01-03,3524,184,QCG,M4TM4,1.0,10.98,2016-01,Sunday,False
2016-01-03,4289,185,0H2,O1X0L,1.0,6.07,2016-01,Sunday,False
2016-01-03,5738,186,0H2,1XG54,1.0,6.75,2016-01,Sunday,False
2016-01-03,5738,186,TW8,LTH2G,1.0,2.0,2016-01,Sunday,False
2016-01-03,8218,187,R6E,VLPE5,1.0,8.18,2016-01,Sunday,False
2016-01-03,3065,188,0H2,LQ555,1.0,7.57,2016-01,Sunday,False
2016-01-03,2340,189,QCG,M4TM4,1.0,10.98,2016-01,Sunday,False
2016-01-03,2767,190,TIF,R8LFB,1.0,6.0,2016-01,Sunday,False
2016-01-03,275,191,N8U,FZ402,1.0,5.46,2016-01,Sunday,False
2016-01-03,5080,192,X52,JYR24,1.0,7.43,2016-01,Sunday,False
2016-01-03,2649,193,N8U,TU0A5,1.0,3.54,2016-01,Sunday,False
2016-01-03,2649,193,P42,0JD0P,1.0,8.38,2016-01,Sunday,False
